symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
STUB,"StubHub Holdings, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,3.44,3.588471,9.44,-3.67,-4.26,-2.58,29.7
ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.11,1.169,31.44,-3.68,4.31,7.86,35.1
JOBY,"Joby Aviation, Inc.",Industrials,"Airlines, Airports & Air Services",L3 · Mid $5B-$30B,12.1,2.61,11.43,-3.71,-3.95,-0.44,333.7
AXTI,"AXT, Inc.",Technology,Semiconductors,L3 · Mid $5B-$30B,5.37,1.757,106.7,-3.74,3.43,-13.09,643.4
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,14.79,1.094,26.5,-3.74,2.75,7.72,201.6
IMAX,IMAX Corporation,Communication Services,Entertainment,L4 · Small $1B-$5B,2.15,0.364,38.98,-3.75,-1.76,0.78,34.6
DAKT,"Daktronics, Inc.",Technology,"Hardware, Equipment & Parts",L4 · Small $1B-$5B,1.01,1.668,19.43,-3.76,-6.04,-4.89,5.2
DRS,"Leonardo DRS, Inc.",Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,12.91,0.027,45.61,-3.76,-6.46,0.57,36.3
XIFR,"XPLR Infrastructure, LP",Utilities,Independent Power Producers,L4 · Small $1B-$5B,1.12,0.839,12.29,-3.76,-1.52,4.95,10.8
NXT,Nextpower Inc.,Technology,Consumer Electronics,L3 · Mid $5B-$30B,20.61,1.598,146.47,-3.78,-6.35,7.87,356.9
CAAP,Corporación América Airports S.A.,Industrials,"Airlines, Airports & Air Services",L4 · Small $1B-$5B,4.29,0.675,26.02,-3.81,-2.18,-1.1,5.9
BZ,Kanzhun Limited,Industrials,Staffing & Employment Services,L3 · Mid $5B-$30B,6.16,0.485,14.1,-3.82,3.91,5.7,54.1
LSPD,Lightspeed Commerce Inc.,Technology,Software - Application,L4 · Small $1B-$5B,1.27,1.849,9.31,-3.82,-3.82,5.08,11.8
ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment,L4 · Small $1B-$5B,1.37,1.466,17.56,-3.83,6.1,-9.48,36.0
SYM,Symbotic Inc.,Industrials,Industrial - Machinery,L2 · Large $30B-$100B,31.32,2.04,47.21,-3.83,1.68,-11.97,114.5
PI,"Impinj, Inc.",Technology,Semiconductors,L4 · Small $1B-$5B,4.78,1.932,137.76,-3.84,-8.77,-12.69,62.9
TRMB,Trimble Inc.,Technology,"Hardware, Equipment & Parts",L3 · Mid $5B-$30B,12.8,1.453,55.52,-3.84,-1.58,1.17,124.6
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors,L4 · Small $1B-$5B,1.92,3.304,38.37,-3.86,-1.56,1.29,27.6
ROKU,"Roku, Inc.",Communication Services,Entertainment,L3 · Mid $5B-$30B,19.36,2.043,122.2,-3.87,-6.13,-7.36,285.2
UPBD,"Upbound Group, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,1.13,1.831,17.89,-3.87,-6.87,-5.29,14.8
NTGR,"NETGEAR, Inc.",Technology,Communication Equipment,L5 · Micro <$1B,0.69,1.18,26.19,-3.89,0.77,1.51,9.7
PCOR,"Procore Technologies, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,7.17,0.782,50.65,-3.89,2.34,8.04,73.3
SPSC,"SPS Commerce, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.96,0.576,55.55,-3.89,-2.11,4.77,38.6
TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,L3 · Mid $5B-$30B,13.97,0.782,9.14,-3.89,-0.87,-0.76,103.6
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,L3 · Mid $5B-$30B,21.82,0.83,40.86,-3.9,-4.95,-2.76,283.6
DLX,Deluxe Corporation,Communication Services,Advertising Agencies,L4 · Small $1B-$5B,1.11,1.317,22.87,-3.91,-5.85,-5.96,8.4
TMUS,"T-Mobile US, Inc.",Communication Services,Telecommunications Services,L1 · Mega ≥$100B,204.55,0.32,181.45,-3.91,-3.24,-4.91,1211.6
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.86,0.876,29.69,-3.92,5.17,21.43,180.9
MAN,ManpowerGroup Inc.,Industrials,Staffing & Employment Services,L4 · Small $1B-$5B,1.41,0.722,30.37,-3.95,-3.98,3.65,22.9
KYIV,Kyivstar Group Ltd. Common Shares,Communication Services,Telecommunications Services,L4 · Small $1B-$5B,3.31,0.8637674,13.78,-3.97,-3.5,-4.31,8.3
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecommunications Services,L3 · Mid $5B-$30B,16.48,0.072,15.66,-3.99,-4.63,-5.95,18.5
